assets,rank,half_life,total_return,ann_return,sharpe,max_dd,num_trades,win_rate,pct_time_invested,total_costs
"['COP', 'CVX', 'HAL']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'CVX', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'CVX', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'DVN', 'HAL']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'DVN', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'DVN', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'DVN', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'HAL', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'HAL', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'HAL', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'SLB', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'SLB', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'DVN', 'HAL']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'XLE', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'DVN', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'DVN', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'HAL', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'DVN', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'HAL', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'HAL', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'SLB', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'HAL', 'SLB']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'HAL', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['CVX', 'XLE', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'HAL', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'SLB', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'SLB', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['HAL', 'SLB', 'XLE']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['DVN', 'XLE', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['HAL', 'SLB', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['HAL', 'XLE', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['SLB', 'XLE', 'XOM']",0,,0.0,0.0,-9.99,0.0,0,0.0,0.0,0.0
"['COP', 'CVX', 'XOM']",1,34.078078839503135,5.2635221307448115,0.7376007843256094,-0.24868116968552975,27.52492955576748,12,41.66666666666667,16.30681818181818,13016.5534785503
"['CVX', 'SLB', 'XLE']",1,27.52820283081582,-34.20211214568623,-5.820482875266231,-1.123713474954544,40.37074456990714,12,58.333333333333336,15.340909090909092,8728.316642573309
"['COP', 'CVX', 'DVN']",1,33.78361884022397,18.340337783182274,2.4418094524745637,-0.026253189870880076,50.89302695965318,14,78.57142857142857,18.238636363636363,12747.896491844787
